EmployeeNumber,Gender,City,JobTitle,DepartmentName,StoreLocation,Store Lat,Store Long,Division,Age,LengthService,AbsentHours
1603,F,Vancouver,Store Manager,Store Management,Vancouver,45.63,-122.677,Stores,43,6.61,92.85
1604,F,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,30,3.42,9.72
1607,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,53,3.72,106.53
1608,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,58,4.42,137.65
1609,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,38,5.82,0
1611,M,Vancouver,Meats Manager,Meats,Vancouver,45.63,-122.677,Stores,56,4.16,146.91
1612,F,Vancouver,Produce Manager,Produce,Vancouver,45.63,-122.677,Stores,57,4.57,143.07
1613,M,Grand Forks,Store Manager,Store Management,Grand Forks,47.924,-97.031,Stores,37,5.88,41.71
1616,F,Surrey,Dairy Person,Dairy,Surrey,48.236,-101.133,Stores,48,1.81,109.17
1617,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,57,4.16,160.1
1618,F,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,32,6.04,24.09
1620,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,35,2.2,21.52
1621,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,50,4.7,64.99
1623,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,37,2.73,36.97
1624,F,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,35,5.75,52.58
1625,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,50,4.36,60.94
1626,M,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,47,5.7,72.29
1627,F,Vancouver,Processed Foods Manager,Processed Foods,Vancouver,45.63,-122.677,Stores,50,5.37,124
1630,M,White Rock,Cashier,Customer Service,White Rock,45.925,-96.576,Stores,32,7.15,0
1631,F,Vancouver,Customer Service Manager,Customer Service,Vancouver,45.63,-122.677,Stores,52,5.14,171.6
1637,F,Surrey,Dairy Person,Dairy,Surrey,48.236,-101.133,Stores,14,5.02,0
1638,F,Vancouver,Store Manager,Store Management,Vancouver,45.63,-122.677,Stores,47,3.36,109.41
1639,M,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,33,2.52,1.81
1642,M,Abbotsford,Store Manager,Store Management,Abbotsford,44.944,-90.315,Stores,33,4.46,0
1650,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,43,0.96,77.77
1654,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,38,6.47,0
1656,F,Vancouver,Meats Manager,Meats,Vancouver,45.63,-122.677,Stores,44,4.35,95
1657,F,Nelson,Meat Cutter,Meats,Nelson,34.38,-84.372,Stores,39,7.53,76.92
1662,M,Trail,Customer Service Manager,Customer Service,Trail,47.783,-95.698,Stores,57,3.42,130.31
1663,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,33,5.14,38.04
1664,F,Vancouver,Produce Manager,Produce,Vancouver,45.63,-122.677,Stores,27,2.44,0
1666,F,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,41,6.83,82.86
1673,F,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,26,4.3,0
1678,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,47,6.92,98.8
1679,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,44,6.18,58.76
1681,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,56,7.58,124.25
1683,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,54,6.4,127.93
1684,F,Vancouver,Processed Foods Manager,Processed Foods,Vancouver,45.63,-122.677,Stores,34,2.72,62.84
1685,M,Port Renfrew,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,34,1.83,9.05
1686,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,38,4.06,53.24
1691,F,Tappen,Meat Cutter,Meats,Vernon,41.838,-72.457,Stores,39,3.8,59.06
1692,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,53,2.67,125.7
1695,F,Vancouver,Customer Service Manager,Customer Service,Vancouver,45.63,-122.677,Stores,39,3.93,15.32
1696,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,43,3.68,47.14
1699,M,Vancouver,Store Manager,Store Management,Vancouver,45.63,-122.677,Stores,43,4.74,19.19
1700,M,Chemainus,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,42,3.81,91.32
1702,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,52,4.9,102.65
1703,F,Vancouver,Meats Manager,Meats,Vancouver,45.63,-122.677,Stores,43,6.6,72.13
1705,M,Richmond,Meats Manager,Meats,Richmond,37.546,-77.453,Stores,35,5.48,14.47
1707,M,Surrey,Dairy Person,Dairy,Surrey,48.236,-101.133,Stores,40,1.85,38.68
1711,M,Port Renfrew,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,49,4.01,132.25
1713,F,Vancouver,Produce Manager,Produce,Vancouver,45.63,-122.677,Stores,35,4.15,15.69
1715,F,Richmond,Produce Manager,Produce,Richmond,37.546,-77.453,Stores,32,4.4,14.04
1718,F,Vernon,Meat Cutter,Meats,Vernon,41.838,-72.457,Stores,50,4.55,80.85
1719,M,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,52,2.69,72.05
1722,M,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,31,5.7,26.61
1723,M,Grand Forks,Dairy Person,Dairy,Grand Forks,47.924,-97.031,Stores,57,5.69,123.24
1724,F,Ganges,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,36,4.08,44.73
1725,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,53,3.45,105.15
1726,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,32,5.66,37.82
1728,F,Vancouver,Processed Foods Manager,Processed Foods,Vancouver,45.63,-122.677,Stores,39,4.19,72.74
1730,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,34,4.36,9.7
1731,M,Grand Forks,Meat Cutter,Meats,Grand Forks,47.924,-97.031,Stores,44,5.03,28.83
1734,F,Vancouver,Customer Service Manager,Customer Service,Vancouver,45.63,-122.677,Stores,32,4.27,0
1736,M,Vancouver,Store Manager,Store Management,Vancouver,45.63,-122.677,Stores,45,6.52,48.78
1741,M,Vancouver,Meats Manager,Meats,Vancouver,45.63,-122.677,Stores,57,4.74,94.81
1742,M,Pender Harbour,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,43,4.47,3.18
1744,F,Richmond,Dairy Person,Dairy,Richmond,37.546,-77.453,Stores,47,6.44,40.73
1745,M,Vancouver,Produce Manager,Produce,Vancouver,45.63,-122.677,Stores,29,4.92,1.85
1746,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,54,3.98,120.8
1749,M,Pender Harbour,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,46,5.27,99.76
1753,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,40,5.44,62.75
1759,F,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,40,2.95,23.95
1764,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,48,4.45,58.48
1766,F,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,44,3.51,29.29
1767,M,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,36,4.74,49.32
1768,M,Langley,Store Manager,Store Management,Langley,48.034,-122.408,Stores,28,3.98,0
1770,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,45,5.57,39.16
1771,M,Abbotsford,Meats Manager,Meats,Abbotsford,44.944,-90.315,Stores,58,3.64,157.61
1772,F,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,28,5.9,24.71
1775,M,Vancouver,Processed Foods Manager,Processed Foods,Vancouver,45.63,-122.677,Stores,35,7.25,8.02
1776,M,Vancouver,Customer Service Manager,Customer Service,Vancouver,45.63,-122.677,Stores,39,8.03,40.85
1780,F,Vancouver,Store Manager,Store Management,Vancouver,45.63,-122.677,Stores,44,8.32,52.96
1781,F,Vancouver,Meats Manager,Meats,Vancouver,45.63,-122.677,Stores,44,2.67,79.97
1783,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,30,4.11,0
1784,M,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,52,4.56,61.69
1787,F,Vancouver,Produce Manager,Produce,Vancouver,45.63,-122.677,Stores,39,2.47,61.12
1788,F,Vancouver,Bakery Manager,Bakery,Vancouver,45.63,-122.677,Stores,33,1.83,1.88
1789,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,31,3.84,0
1792,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,22,4.03,0
1795,F,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,29,3.48,22.4
1796,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,38,5.32,84.59
1797,M,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,44,5.69,62.34
1798,M,Vancouver,Processed Foods Manager,Processed Foods,Vancouver,45.63,-122.677,Stores,47,4.91,98.2
1799,M,Vancouver,Customer Service Manager,Customer Service,Vancouver,45.63,-122.677,Stores,45,4.48,25.05
1802,F,Surrey,Processed Foods Manager,Processed Foods,Surrey,48.236,-101.133,Stores,37,6.38,38.8
1803,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,42,5.7,37.86
1804,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,39,0.69,51.07
1805,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,48,6.33,99.93
1806,F,Surrey,Customer Service Manager,Customer Service,Surrey,48.236,-101.133,Stores,53,4.04,133.55
1809,F,White Rock,Dairy Person,Dairy,White Rock,45.925,-96.576,Stores,49,2.81,67.12
1813,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,24,6.25,0
1814,F,Surrey,Meat Cutter,Meats,Surrey,48.236,-101.133,Stores,49,1.86,87.36
1817,M,Abbotsford,Produce Manager,Produce,Abbotsford,44.944,-90.315,Stores,26,3.19,0
1818,M,Vernon,Meat Cutter,Meats,Vernon,41.838,-72.457,Stores,65,4.5,146.85
1819,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,41,2.91,44.71
1820,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,32,2.33,0
1824,M,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,41,5.58,6.94
1827,F,Langley,Meats Manager,Meats,Langley,48.034,-122.408,Stores,37,4.04,0
1832,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,43,5.74,13.03
1836,M,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,43,4.01,44.55
1839,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,40,3.72,59.88
1840,M,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,43,2.99,35.95
1845,M,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,33,5.2,0
1846,M,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,35,4.56,9.4
1847,F,Langley,Dairy Person,Dairy,Langley,48.034,-122.408,Stores,30,2.52,0
1850,M,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,40,5.3,14.29
1851,M,Surrey,Meat Cutter,Meats,Surrey,48.236,-101.133,Stores,53,5.56,117.85
1854,F,Langley,Dairy Person,Dairy,Langley,48.034,-122.408,Stores,47,4.45,78.09
1855,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,48,3.59,92.21
1859,M,White Rock,Store Manager,Store Management,White Rock,45.925,-96.576,Stores,51,4.83,81.59
1861,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,56,6.9,143.06
1862,F,Surrey,Meat Cutter,Meats,Surrey,48.236,-101.133,Stores,54,4.87,117.24
1865,M,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,37,3.68,35.5
1869,M,Richmond,Bakery Manager,Bakery,Richmond,37.546,-77.453,Stores,35,5.56,17.53
1871,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,47,3.52,106.59
1872,M,Surrey,Dairy Person,Dairy,Surrey,48.236,-101.133,Stores,26,2.25,0
1877,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,31,2.75,0
1880,F,Surrey,Meat Cutter,Meats,Surrey,48.236,-101.133,Stores,58,6.86,134.89
1882,F,Vernon,Meat Cutter,Meats,Vernon,41.838,-72.457,Stores,44,5.14,74.71
1885,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,29,5.4,0
1887,M,White Rock,Dairy Person,Dairy,White Rock,45.925,-96.576,Stores,50,4.01,74.2
1890,F,Abbotsford,Meat Cutter,Meats,Abbotsford,44.944,-90.315,Stores,23,5.08,0
1894,F,White Rock,Meat Cutter,Meats,White Rock,45.925,-96.576,Stores,60,3.32,164.48
1896,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,57,4.63,145.33
1897,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,61,5.92,157.09
1898,M,Abbotsford,Bakery Manager,Bakery,Abbotsford,44.944,-90.315,Stores,46,3.64,36.04
1902,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,47,3.05,98.52
1903,F,Surrey,Dairy Person,Dairy,Surrey,48.236,-101.133,Stores,47,4,102.27
1904,M,Surrey,Meat Cutter,Meats,Surrey,48.236,-101.133,Stores,50,3.82,60.95
1905,F,Vallican,Meat Cutter,Meats,Trail,47.783,-95.698,Stores,40,3.64,72.54
1906,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,46,6.8,91.65
1907,M,Surrey,Meat Cutter,Meats,Surrey,48.236,-101.133,Stores,31,6.19,19.8
1909,M,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,46,6.64,68.54
1911,M,Abbotsford,Dairy Person,Dairy,Abbotsford,44.944,-90.315,Stores,48,3.2,89.61
1912,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,55,5.24,148.49
1913,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,43,4.94,74.38
1915,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,35,5.66,3.98
1916,F,Surrey,Meat Cutter,Meats,Surrey,48.236,-101.133,Stores,46,3.52,99.62
1917,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,40,5.36,56.37
1918,F,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,55,6.56,134.43
1921,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,45,4.64,37.41
1922,F,Slocan,Meat Cutter,Meats,Trail,47.783,-95.698,Stores,58,2.86,195.61
1924,M,Fort Langley,Produce Manager,Produce,Langley,48.034,-122.408,Stores,45,4.18,59.87
1926,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,29,4.08,34.66
1928,M,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,30,1.29,14.56
1930,M,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,32,2.59,0
1931,M,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,45,4.78,52.28
1932,F,Lumby,Meat Cutter,Meats,Vernon,41.838,-72.457,Stores,53,5.38,93.93
1934,M,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,27,5.52,0
1935,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,24,3.05,0
1938,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,30,3.01,0
1939,M,Langley,Dairy Person,Dairy,Langley,48.034,-122.408,Stores,44,6.27,13.94
1940,F,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,26,5.15,0
1944,M,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,48,4.24,122.38
1945,F,Surrey,Meat Cutter,Meats,Surrey,48.236,-101.133,Stores,16,3.41,0
1946,M,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,33,5.56,0.02
1949,M,Richmond,Dairy Person,Dairy,Richmond,37.546,-77.453,Stores,43,4.3,54.07
1953,F,Surrey,Meat Cutter,Meats,Surrey,48.236,-101.133,Stores,35,3.99,45.13
1955,M,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,52,4.82,70.42
1956,M,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,44,2.18,107.02
1958,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,53,2.97,125.44
1961,M,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,56,4.63,119.56
1966,M,Vernon,Meat Cutter,Meats,Vernon,41.838,-72.457,Stores,44,3.1,20.09
1967,F,Cobble Hill,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,32,3.6,0
1969,F,Blue River,Cashier,Customer Service,Blue River,39.447,-106.038,Stores,51,4.23,121.14
1970,F,Surrey,Meat Cutter,Meats,Surrey,48.236,-101.133,Stores,41,2.12,46.21
1972,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,38,4.35,29.06
1973,M,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,44,3.06,95.7
1975,F,Fort Langley,Bakery Manager,Bakery,Langley,48.034,-122.408,Stores,36,2.9,33.71
1978,F,Abbotsford,Processed Foods Manager,Processed Foods,Abbotsford,44.944,-90.315,Stores,31,3.56,27.08
1980,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,40,4.17,44.68
1981,M,Surrey,Meat Cutter,Meats,Surrey,48.236,-101.133,Stores,51,5.64,107.23
1982,F,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,62,6.68,198.54
1984,F,Genelle,Dairy Person,Dairy,Trail,47.783,-95.698,Stores,52,4.32,105.83
1985,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,53,5.23,151.81
1988,F,Vancouver,Meat Cutter,Meats,Vancouver,45.63,-122.677,Stores,37,4.33,37.87
1991,M,Vernon,Meat Cutter,Meats,Vernon,41.838,-72.457,Stores,27,3.81,0
1992,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,42,5.56,21.36
1993,M,Langley,Dairy Person,Dairy,Langley,48.034,-122.408,Stores,51,5.65,125.63
1994,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,44,4.17,65.65
1996,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,35,4.28,28.87
1997,M,Richmond,Dairy Person,Dairy,Richmond,37.546,-77.453,Stores,48,3.99,62.66
2003,M,Langley,Processed Foods Manager,Processed Foods,Langley,48.034,-122.408,Stores,47,5.38,118.83
2006,F,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,40,4.57,67.49
2007,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,49,7.44,94.1
2011,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,42,2.65,52.51
2012,F,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,44,4.62,45.09
2013,M,Vancouver,Cashier,Customer Service,Vancouver,45.63,-122.677,Stores,49,2.7,36.88
2015,F,Vernon,Meat Cutter,Meats,Vernon,41.838,-72.457,Stores,34,2.86,62.91
2016,M,Abbotsford,Customer Service Manager,Customer Service,Abbotsford,44.944,-90.315,Stores,32,2.43,0
2020,M,Vernon,Meat Cutter,Meats,Vernon,41.838,-72.457,Stores,34,3.21,2.27
2024,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,36,4.54,49.21
2029,F,Langley,Dairy Person,Dairy,Langley,48.034,-122.408,Stores,40,3.26,64.56
2031,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,49,4.31,71.05
2032,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,50,4.92,72.31
2035,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,48,4.12,69.02
2039,F,Fulford Harbour,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,40,3.86,28.74
2043,F,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,54,5.01,144.56
2044,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,49,6.52,25.8
2045,F,Abbotsford,Meat Cutter,Meats,Abbotsford,44.944,-90.315,Stores,52,3.16,163.7
2046,M,Surrey,Meat Cutter,Meats,Surrey,48.236,-101.133,Stores,56,5.53,61.9
2047,F,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,49,5.87,101.79
2048,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,48,6.61,86.68
2050,F,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,39,2.83,70.52
2051,F,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,64,6.95,172.03
2055,M,Midway,Meat Cutter,Meats,Trail,47.783,-95.698,Stores,29,5.61,0
2058,F,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,26,4.98,0
2059,M,Langley,Dairy Person,Dairy,Langley,48.034,-122.408,Stores,32,8.76,9.76
2060,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,50,1.11,90.85
2063,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,52,5.53,153.06
2066,F,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,44,4.12,88.25
2068,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,39,1.52,28.54
2070,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,39,5,38.76
2072,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,53,3.14,89.2
2075,F,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,33,4.9,0
2076,F,Langley,Customer Service Manager,Customer Service,Langley,48.034,-122.408,Stores,40,3.83,53.98
2077,F,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,51,5.4,89.96
2078,F,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,61,1.58,149.18
2080,F,Castlegar,Meat Cutter,Meats,Trail,47.783,-95.698,Stores,39,4.16,52.41
2081,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,59,4.57,151.24
2084,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,55,6.32,157.37
2085,M,Vernon,Meat Cutter,Meats,Vernon,41.838,-72.457,Stores,32,0.83,0
2095,F,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,41,3.03,104.16
2096,F,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,44,3.86,99.45
2097,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,23,0.41,0
2101,M,Willow Point,Meat Cutter,Meats,Trail,47.783,-95.698,Stores,39,4.25,37.67
2102,F,Vernon,Meat Cutter,Meats,Vernon,41.838,-72.457,Stores,33,3.61,53.04
2103,M,White Rock,Produce Clerk,Produce,White Rock,45.925,-96.576,Stores,29,3.68,0.45
2105,F,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,37,3.54,42.32
2106,F,Willow Point,Dairy Person,Dairy,Trail,47.783,-95.698,Stores,30,5.42,53.63
2108,F,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,35,4.03,38.29
2109,M,Lake Cowichan,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,34,4.14,0
2110,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,45,6.26,49.92
2111,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,37,3.26,16.33
2115,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,50,9.09,69.81
2120,M,Nelson,Meats Manager,Meats,Nelson,34.38,-84.372,Stores,52,4.27,98
2121,M,Victoria,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,38,5.1,17
2122,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,52,3.54,74.29
2124,F,Langley,Dairy Person,Dairy,Langley,48.034,-122.408,Stores,34,3.33,52.06
2127,F,Fulford Harbour,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,48,3.15,83.73
2128,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,46,7.83,71.1
2133,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,46,4.86,70.28
2134,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,70,7.19,148.6
2135,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,44,3.78,56.26
2138,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,43,4.01,45.58
2139,F,Fulford Harbour,Dairy Person,Dairy,Victoria,28.799,-97.006,Stores,17,6.41,0
2141,F,Cobble Hill,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,62,4.47,176.71
2142,M,Enderby,Meat Cutter,Meats,Vernon,41.838,-72.457,Stores,34,4.11,0
2144,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,25,4.73,0
2146,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,41,3.74,35.78
2148,M,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,54,5.45,41.67
2152,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,33,2.83,0
2154,F,Surrey,Meat Cutter,Meats,Surrey,48.236,-101.133,Stores,46,4.01,118.91
2157,F,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,25,6.64,0
2160,M,Huntingdon,Meat Cutter,Meats,Abbotsford,44.944,-90.315,Stores,45,5.32,29.94
2162,M,Richmond,Dairy Person,Dairy,Richmond,37.546,-77.453,Stores,46,5.94,124.45
2163,M,Victoria,Meat Cutter,Meats,Victoria,28.799,-97.006,Stores,49,5.34,115.54
2167,F,Vernon,Meat Cutter,Meats,Vernon,41.838,-72.457,Stores,30,4.65,13.6
2168,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,29,4.16,0
2170,M,Vancouver,Produce Clerk,Produce,Vancouver,45.63,-122.677,Stores,33,7.83,14.97
2171,M,Vancouver,Dairy Person,Dairy,Vancouver,45.63,-122.677,Stores,47,3.86,64.17
2174,F,Langley,Dairy Person,Dairy,Langley,48.034,-122.408,Stores,44,4.11,126.51
